PAL	USA	JAP	KOR	Symbol
8051c270	80517dfc	8051bbf0	8050a290	__ct__9GhostDataFv
8051c334	80517ec0	8051bcb4	8050a354	__dt__9GhostDataFv
8051ca80	8051860c	8051c400	8050aaa0	makeRKG__9GhostDataFPQ29GhostData7RKGFile
8051d0e0	80518c6c	8051ca60	8050b100	compress__Q29GhostData7RKGFileFPQ29GhostData7RKGFile
8051d388	80518f14	8051cd08	8050b3a8	getFileSize__Q29GhostData7RKGFileCFv
80635a3c	80604ba4	80635188	80623e34	setNextScene__9RKContextFii
80635ac8	80604c30	80635214	80623ec0	startSceneTransition__9RKContextFiUl
80622d08	805f1e54	80622454	80611100	buildPage__Q22UI13UIPageManagerFl
80622da0	805f1eec	806224ec	80611198	showPageOnTop__Q22UI13UIPageManagerFl
809c1e38	809bd508	809c0e98	809b0478	sInstance__9RKContext
8063aa08	80609668	8063a0f4	80628da0	__ct__Q22UI15TitleScreenPageFv
8063aae4	80609744	8063a1d0	80628e7c	__dt__Q22UI15TitleScreenPageFv
8063ad60	806099c0	8063a44c	806290f8	onDeinit__Q22UI15TitleScreenPageFv
8063ad64	806099c4	8063a450	806290fc	onIn__Q22UI15TitleScreenPageFv
8063afc8	80609c28	8063a6b4	80629360	onUpdateEnd__Q22UI15TitleScreenPageFv
8063b124	80609d84	8063a810	806294bc	onChildPageOut__Q22UI15TitleScreenPageFv
809c2328	809bdb60	809c1388	809b0968	SceneBGMControllerInstance__2UI
806f90b8	806f40fc	806f8724	806e7460	enableBGMPersist__Q22UI18SceneBGMControllerFv
805eeb68	805d4094	805ee444	805dcf88	__ct__Q22UI14UIInputManagerFv
805eeb8c	805d40b8	805ee468	805dcfac	__dt__Q22UI14UIInputManagerFv
805f09a8	805d5ed4	805f0284	805dedc8	__ct__Q22UI18UIInputManagerMenuFv
805f0bd4	805d6100	805f04b0	805deff4	__dt__Q22UI18UIInputManagerMenuFv
805f0db4	805d62e0	805f0690	805df1d4	setScreenWrapSetting__Q22UI18UIInputManagerMenuFi
805f0d84	805d62b0	805f0660	805df1a4	configureInput__Q22UI18UIInputManagerMenuFQ22UI10InputIndexPQ22UI17FunctionBase<i,i>UcUc
80602474	805ddb94	80601be8	805f0894	setInputManager__Q22UI6UIPageFPQ22UI14UIInputManager
8063c820	8060b400	8063be8c	8062ab38	getIndex__Q22UI22SomeAnimationContainerFi
8063c91c	8060b4fc	8063bf88	8062ac34	doSomething__Q22UI13SomeAnimationFif
8063d8c0	8060c4a0	8063cf2c	8062bbd8	__dt__Q22UI15LayoutUIControlFv
805c2c18	805ba284	805c2598	805b0c7c	__ct__Q22UI7CtrlResFPQ22UI15LayoutUIControl
805c2c60	805ba2cc	805c25e0	805b0cc4	readFile__Q22UI7CtrlResFPCcPCcPCcPPCc
805bd3a8	805b5704	805bcd28	805ab400	__ct__Q22UI10PushButtonFv
805bd4b0	805b580c	805bce30	805ab508	__dt__Q22UI10PushButtonFv
805bd518	805b5874	805bce98	805ab570	readLayout__Q22UI10PushButtonFPCcPCcPCciib
805bdac8	805b5e24	805bd448	805abb20	setSelectFunction__Q22UI10PushButtonFPQ22UI34FunctionBase<PQ22UI10PushButton,i>i
805bdae0	805b5e3c	805bd460	805abb38	setFreeToSelectFunction__Q22UI10PushButtonFPQ22UI34FunctionBase<PQ22UI10PushButton,i>
805bdaf0	805b5e4c	805bd470	805abb48	setSelected__Q22UI10PushButtonFi
805bdb44	805b5ea0	805bd4c4	805abb9c	freeToSelect__Q22UI10PushButtonFi
805bdf88	805b62e4	805bd908	805abfe0	getSelectDelay__Q22UI10PushButtonFv
80635ec4	8060502c	80635610	806242bc	__ct__Q22UI18SheetSelectControlFv
8063607c	806051e4	806357c8	80624474	__dt__Q22UI18SheetSelectControlFv
80636120	80605288	8063586c	80624518	readLayout__Q22UI18SheetSelectControlFPCcPCcPCcPCcPCciib
80636264	806053cc	806359b0	8062465c	setEnabledArrows__Q22UI18SheetSelectControlFbb
8060197c	805dd09c	806010f0	805efd9c	__ct__Q22UI6UIPageFv
8060245c	805ddb7c	80601bd0	805f087c	initControlGroup__Q22UI6UIPageFi
8060246c	805ddb8c	80601be0	805f088c	setControl__Q22UI6UIPageFiPQ22UI9UIControli
80601a60	805dd180	806011d4	805efe80	init__Q22UI6UIPageFl
80602488	805ddba8	80601bfc	805f08a8	toOut__Q22UI6UIPageFQ32UI6UIPage13TransitionDirf
80601a04	805dd124	80601178	805efe24	__dt__Q22UI6UIPageFv
805bb25c	805b569c	805babdc	805a92b4	_C__Q22UI6UIPageFv
805bb278	805b56b8	805babf8	805a92d0	getNextPageID__Q22UI6UIPageFv
805bb254	805b5694	805babd4	805a92ac	_14__Q22UI6UIPageFv
805bb24c	805b568c	805babcc	805a92a4	_18__Q22UI6UIPageFv
806024b0	805ddbd0	80601c24	805f08d0	toNextScene__Q22UI6UIPageFiQ32UI6UIPage13TransitionDirf
80602530	805ddc50	80601ca4	805f0950	_20__Q22UI6UIPageFv
806025b0	805ddcd0	80601d24	805f09d0	insertPage__Q22UI6UIPageFiQ32UI6UIPage13TransitionDir
80601ad8	805dd1f8	8060124c	805efef8	onInit__Q22UI6UIPageFv
805bb248	805b5688	805babc8	805a92a0	onDeinit__Q22UI6UIPageFv
805c9888	805bf8d8	805c9208	805b78ec	onIn__Q22UI6UIPageFv
805bb244	805b5684	805babc4	805a929c	onOut__Q22UI6UIPageFv
805bb240	805b5680	805babc0	805a9298	_38__Q22UI6UIPageFv
805bb23c	805b567c	805babbc	805a9294	_3C__Q22UI6UIPageFv
805bb238	805b5678	805babb8	805a9290	_40__Q22UI6UIPageFv
805bb234	805b5674	805babb4	805a928c	_44__Q22UI6UIPageFv
805bb230	805b5670	805babb0	805a9288	onUpdateBegin__Q22UI6UIPageFv
805bf2d8	805b919c	805bec58	805ad330	onUpdateEnd__Q22UI6UIPageFv
805bb22c	805b566c	805babac	805a9284	onCalc__Q22UI6UIPageFv
805bb228	805b5668	805baba8	805a9280	onChildPageOut__Q22UI6UIPageFv
805bb224	805b5664	805baba4	805a927c	_58__Q22UI6UIPageFv
805bb220	805b5660	805baba0	805a9278	_5C__Q22UI6UIPageFv
805bed68	805b7420	805be6e8	805acdc0	getRuntimeTypeInfo__Q22UI6UIPageFv
809c1d10	809bd488	809c0d70	809b0350	typeInfo__Q22UI6UIPage
8063ce6c	8060ba4c	8063c4d8	8062b184	__ct__Q22UI9UIControlFv
8063d798	8060c378	8063ce04	8062bab0	__ct__Q22UI15LayoutUIControlFv
8063dcbc	8060c89c	8063d328	8062bfd4	setMessage__Q22UI15LayoutUIControlFPCciPQ32UI6MsgRes11FormatParam
8063ddb4	8060c994	8063d420	8062c0cc	setMessage__Q22UI15LayoutUIControlFiPQ32UI6MsgRes11FormatParam
8063e0f0	8060ccd0	8063d75c	8062c408	setTexture__Q22UI15LayoutUIControlFPCcPCc
808d374c	808d51fc	808d289c	808c1be4	__vt__Q22UI18CtrlMenuBackButton
807e947c	808413a4	807e8ae8	807d783c	initLayout__Q22UI21CtrlMenuPageTitleTextFi
808d36d4	808d5184	808d2824	808c1b6c	__vt__Q22UI21CtrlMenuPageTitleText
807e9cd0	807e0424	807e933c	807d8090	initLayout__Q22UI18CtrlMenuPressStartFv
80858ca4	80837214	80858310	80847064	__ct__Q22UI12RaceMenuPageFv
80624b38	805f3c84	80624284	80612f30	__dt__Q22UI12RaceMenuPageFv
80632414	80601560	80631b60	8062080c	getNextPageID__Q22UI12RaceMenuPageFv
80858d60	808372d0	808583cc	80847120	onInit__Q22UI12RaceMenuPageFv
80859fa4	80838514	80859610	80848364	onDeinit__Q22UI12RaceMenuPageFv
80859a2c	80837f9c	80859098	80847dec	onIn__Q22UI12RaceMenuPageFv
80859fa0	80838510	8085960c	80848360	onOut__Q22UI12RaceMenuPageFv
80859f30	808384a0	8085959c	808482f0	_38__Q22UI12RaceMenuPageFv
80859f34	808384a4	808595a0	808482f4	_40__Q22UI12RaceMenuPageFv
80859e98	80838408	80859504	80848258	onUpdateEnd__Q22UI12RaceMenuPageFv
8085bd58	8083a2c8	8085b3c4	8084a118	getRuntimeTypeInfo__Q22UI12RaceMenuPageFv
809c4688	809bfdc8	809c36e8	809b2cc8	typeInfo__Q22UI12RaceMenuPage
8063240c	80601558	80631b58	80620804	setNextPageID__Q22UI12RaceMenuPageFi
808d4250	808da710	808d9860	808c8ba8	__vt__Q22UI11RaceHudPage
808ae694	808b2d44	808ad7f4	8089caf4	__vt__Q32UI11RaceHudPage13UnknownMember
80624764	805f38b0	80623eb0	80612b5c	__dt__Q22UI11RaceHudPageFv
805ef240	805d476c	805eeb1c	805dd660	__ct__Q22UI18UIInputManagerRaceFv
809c4640	809bfd80	809c36a0	809b2c80	typeInfo__Q22UI11RaceHudPage
80633510	8060265c	80632c5c	80621908	getNextPageID__Q22UI11RaceHudPageFv
80858a34	80836fa4	808580a0	80846df4	_20__Q22UI11RaceHudPageFv
80856278	808347e8	808558e4	80844638	onInit__Q22UI11RaceHudPageFv
80858a24	80836f94	80858090	80846de4	onDeinit__Q22UI11RaceHudPageFv
80858a18	80836f88	80858084	80846dd8	onOut__Q22UI11RaceHudPageFv
80856cec	8083525c	80856358	808450ac	onUpdateBegin__Q22UI11RaceHudPageFv
808574b8	80835a28	80856b24	80845878	onUpdateEnd__Q22UI11RaceHudPageFv
80633d44	80602e90	80633490	8062213c	_6C__Q22UI11RaceHudPageFv
808569bc	80834f2c	80856028	80844d7c	onPause__Q22UI11RaceHudPageFv
808572d4	80835844	80856940	80845694	isRaceEnded__Q22UI11RaceHudPageFi
808573ac	8083591c	80856a18	8084576c	_78__Q22UI11RaceHudPageFv
8085732c	8083589c	80856998	808456ec	_7C__Q22UI11RaceHudPageFv
805f9700	805d8e1c	805f8fdc	805e7b20	__ct__Q22UI20MessageWindowControlFv
805f973c	805d8e58	805f9018	805e7b5c	__dt__Q22UI20MessageWindowControlFv
805f9794	805d8eb0	805f9070	805e7bb4	readWindowLayout__Q22UI20MessageWindowControlFPCcPCcPCc
806525fc	8061ebe8	80651c68	80640914	configMessage__Q22UI23MessageConfirmPopupPageFiPQ32UI6MsgRes11FormatParam
80652604	8061ebf0	80651c70	8064091c	configOption__Q22UI23MessageConfirmPopupPageFiiPQ32UI6MsgRes11FormatParamiPQ22UI64FunctionBase<PQ22UI23MessageConfirmPopupPage,PQ22UI10PushButton>
809c1f34	809bd5dc	809c0f94	809b0574	typeInfo__Q22UI23MessageConfirmPopupPage
805f9620	805d8d3c	805f8efc	805e7a40	setTitleText__Q22UI25MessageWindowNoButtonPageFiPQ32UI6MsgRes11FormatParam
805f9628	805d8d44	805f8f04	805e7a48	setWindowText__Q22UI25MessageWindowNoButtonPageFiPQ32UI6MsgRes11FormatParam
809c1cb8	809bd450	809c0d18	809b02f8	typeInfo__Q22UI25MessageWindowNoButtonPage
809c1cfc	809bd6bc	809c0d5c	809b033c	typeInfo__Q22UI27OptionMessageBoxManagerPage
809c1cf4	809bd6b4	809c0d54	809b0334	typeInfo__Q22UI26OptionMessageBoxPromptPage
805f8c88	805d83a4	805f8564	805e70a8	getIndexFromMid__Q22UI6MsgResCFi
805f8cf0	805d840c	805f85cc	805e7110	getTextFromIndex__Q22UI6MsgResCFi
80242e54	80241f98	80242d74	802431c8	__ct__Q23EGG10TaskThreadFiiUl
80242cd4	80241e18	80242bf4	80243048	__dt__Q23EGG10TaskThreadFv
802428e8	80241a2c	80242808	80242c5c	create__Q23EGG10TaskThreadFiiUlPQ23EGG4Heap
80242c18	80241d5c	80242b38	80242f8c	request__Q23EGG10TaskThreadFPFPv_vPvPv
80242c98	80241ddc	80242bb8	8024300c	isTaskExist__Q23EGG10TaskThreadCFv
8022235c	802222bc	8022227c	802226d0	__ct__Q23EGG7DvdFileFv
802223a0	80222300	802222c0	80222714	__dt__Q23EGG7DvdFileFv
802224e8	80222448	80222408	8022285c	open__Q23EGG7DvdFileFPCc
8022259c	802224fc	802224bc	80222910	readData__Q23EGG7DvdFileFPvll
802226d0	80222630	802225f0	80222a44	getFileSize__Q23EGG7DvdFileCFv
803858f0	80381570	80385270	803738f8	diResNameStr
